time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,euler_x,euler_y,euler_z,thrust_force_x,thrust_force_y,thrust_force_z,thrust_force_mag,thrust_slack,mass
1.846891,0.000000,0.000000,5.966365,0.000000,0.000000,-1.796777,0.000000,0.000000,9.866623,-0.000000,0.000000,0.000000,0.000000,0.000000,1948.335889,1948.335889,9.867385,197.467340
1.915294,0.000000,0.000000,5.781587,0.000000,0.000000,-1.789808,0.000000,0.000000,9.881938,-0.000000,0.000000,0.000000,0.000000,0.000000,1950.367447,1950.367447,9.882690,197.366901
1.983697,0.000000,0.000000,5.597608,0.000000,0.000000,-1.781284,0.000000,0.000000,9.896818,-0.000000,0.000000,0.000000,0.000000,0.000000,1952.309203,1952.309203,9.897560,197.266361
2.052101,0.000000,0.000000,5.414586,0.000000,0.000000,-1.771248,0.000000,0.000000,9.911291,-0.000000,0.000000,0.000000,0.000000,0.000000,1954.166762,1954.166762,9.912023,197.165722
2.120504,0.000000,0.000000,5.232673,0.000000,0.000000,-1.759740,0.000000,0.000000,9.925370,-0.000000,0.000000,0.000000,0.000000,0.000000,1955.942896,1955.942896,9.926091,197.064991
2.188908,0.000000,0.000000,5.052019,0.000000,0.000000,-1.746803,0.000000,0.000000,9.939058,-0.000000,0.000000,0.000000,0.000000,0.000000,1957.638330,1957.638330,9.939769,196.964169
2.257311,0.000000,0.000000,4.872770,0.000000,0.000000,-1.732475,0.000000,0.000000,9.952352,-0.000000,0.000000,0.000000,0.000000,0.000000,1959.252559,1959.252559,9.953053,196.863263
2.325714,0.000000,0.000000,4.695067,0.000000,0.000000,-1.716797,0.000000,0.000000,9.965247,-0.000000,0.000000,0.000000,0.000000,0.000000,1960.784647,1960.784647,9.965937,196.762276
2.394118,0.000000,0.000000,4.519047,0.000000,0.000000,-1.699812,0.000000,0.000000,9.977737,-0.000000,0.000000,0.000000,0.000000,0.000000,1962.233913,1962.233913,9.978417,196.661212
2.462521,0.000000,0.000000,4.344842,0.000000,0.000000,-1.681561,0.000000,0.000000,9.989823,-0.000000,0.000000,0.000000,0.000000,0.000000,1963.600446,1963.600446,9.990493,196.560076
2.530924,0.000000,0.000000,4.172581,0.000000,0.000000,-1.662085,0.000000,0.000000,10.001510,-0.000000,0.000000,0.000000,0.000000,0.000000,1964.885396,1964.885396,10.002170,196.458871
2.599328,0.000000,0.000000,4.002387,0.000000,0.000000,-1.641425,0.000000,0.000000,10.012808,-0.000000,0.000000,0.000000,0.000000,0.000000,1966.091008,1966.091008,10.013458,196.357603
2.667731,0.000000,0.000000,3.834381,0.000000,0.000000,-1.619620,0.000000,0.000000,10.023733,-0.000000,0.000000,0.000000,0.000000,0.000000,1967.220439,1967.220439,10.024374,196.256274
2.736134,0.000000,0.000000,3.668679,0.000000,0.000000,-1.596708,0.000000,0.000000,10.034302,-0.000000,0.000000,0.000000,0.000000,0.000000,1968.277374,1968.277374,10.034934,196.154889
2.804538,0.000000,0.000000,3.505393,0.000000,0.000000,-1.572724,0.000000,0.000000,10.044534,-0.000000,0.000000,0.000000,0.000000,0.000000,1969.265527,1969.265527,10.045157,196.053452
2.872941,0.000000,0.000000,3.344632,0.000000,0.000000,-1.547703,0.000000,0.000000,10.054444,-0.000000,0.000000,0.000000,0.000000,0.000000,1970.188096,1970.188096,10.055059,195.951965
2.941345,0.000000,0.000000,3.186501,0.000000,0.000000,-1.521676,0.000000,0.000000,10.064043,-0.000000,0.000000,0.000000,0.000000,0.000000,1971.047244,1971.047244,10.064650,195.850433
3.009748,0.000000,0.000000,3.031102,0.000000,0.000000,-1.494676,0.000000,0.000000,10.073334,-0.000000,0.000000,0.000000,0.000000,0.000000,1971.843713,1971.843713,10.073934,195.748858
3.078151,0.000000,0.000000,2.878533,0.000000,0.000000,-1.466735,0.000000,0.000000,10.082312,-0.000000,0.000000,0.000000,0.000000,0.000000,1972.576623,1972.576623,10.082905,195.647244
3.146555,0.000000,0.000000,2.728890,0.000000,0.000000,-1.437885,0.000000,0.000000,10.090964,-0.000000,0.000000,0.000000,0.000000,0.000000,1973.243541,1973.243541,10.091550,195.545593
3.214958,0.000000,0.000000,2.582264,0.000000,0.000000,-1.408162,0.000000,0.000000,10.099270,-0.000000,0.000000,0.000000,0.000000,0.000000,1973.840869,1973.840869,10.099850,195.443911
3.283361,0.000000,0.000000,2.438744,0.000000,0.000000,-1.377602,0.000000,0.000000,10.107210,-0.000000,0.000000,0.000000,0.000000,0.000000,1974.364568,1974.364568,10.107784,195.342199
3.351765,0.000000,0.000000,2.298415,0.000000,0.000000,-1.346244,0.000000,0.000000,10.114764,-0.000000,0.000000,0.000000,0.000000,0.000000,1974.811237,1974.811237,10.115333,195.240463
3.420168,0.000000,0.000000,2.161355,0.000000,0.000000,-1.314127,0.000000,0.000000,10.121926,-0.000000,0.000000,0.000000,0.000000,0.000000,1975.179483,1975.179483,10.122490,195.138705
3.488571,0.000000,0.000000,2.027642,0.000000,0.000000,-1.281293,0.000000,0.000000,10.128705,-0.000000,0.000000,0.000000,0.000000,0.000000,1975.471540,1975.471540,10.129265,195.036931
3.556975,0.000000,0.000000,1.897346,0.000000,0.000000,-1.247777,0.000000,0.000000,10.135140,-0.000000,0.000000,0.000000,0.000000,0.000000,1975.695021,1975.695021,10.135697,194.935143
3.625378,0.000000,0.000000,1.770538,0.000000,0.000000,-1.213613,0.000000,0.000000,10.141306,-0.000000,0.000000,0.000000,0.000000,0.000000,1975.864632,1975.864632,10.141860,194.833346
3.693782,0.000000,0.000000,1.647282,0.000000,0.000000,-1.178821,0.000000,0.000000,10.147322,-0.000000,0.000000,0.000000,0.000000,0.000000,1976.003625,1976.003625,10.147874,194.731540
3.762185,0.000000,0.000000,1.527643,0.000000,0.000000,-1.143408,0.000000,0.000000,10.153355,-0.000000,0.000000,0.000000,0.000000,0.000000,1976.144637,1976.144637,10.153906,194.629727
3.830588,0.000000,0.000000,1.411686,0.000000,0.000000,-1.107361,0.000000,0.000000,10.159619,-0.000000,0.000000,0.000000,0.000000,0.000000,1976.329498,1976.329498,10.160170,194.527906
3.898992,0.000000,0.000000,1.299478,0.000000,0.000000,-1.070644,0.000000,0.000000,10.166371,-0.000000,0.000000,0.000000,0.000000,0.000000,1976.607548,1976.607548,10.166923,194.426073
