time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1.100000000000000006e-01,1.999825544051786608e+01,4.999882648834043763e+00,4.999882648834065968e+00,-3.489118964274422890e-02,-2.347023319186974325e-03,-2.347023318733616921e-03
1.199999999999999956e-01,1.999809684420131006e+01,4.999871980546228833e+00,4.999871980546253702e+00,-3.806311597389695767e-02,-2.560389075478230591e-03,-2.560389074983658760e-03
1.300000000000000044e-01,1.999793824788475050e+01,4.999861312258414792e+00,4.999861312258441437e+00,-4.123504230504967949e-02,-2.773754831769487724e-03,-2.773754831233701465e-03
1.400000000000000133e-01,1.999777965156819448e+01,4.999850643970599862e+00,4.999850643970628283e+00,-4.440696863620240825e-02,-2.987120588060744424e-03,-2.987120587483743737e-03
1.499999999999999944e-01,1.999762105525163491e+01,4.999839975682785820e+00,4.999839975682816018e+00,-4.757889496735513007e-02,-3.200486344352000689e-03,-3.200486343733785575e-03
1.600000000000000033e-01,1.999746245893507890e+01,4.999829307394970890e+00,4.999829307395003752e+00,-5.075082129850785884e-02,-3.413852100643257389e-03,-3.413852099983828280e-03
1.700000000000000122e-01,1.999730386261851933e+01,4.999818639107156848e+00,4.999818639107191487e+00,-5.392274762966058066e-02,-3.627217856934514088e-03,-3.627217856233870552e-03
1.799999999999999933e-01,1.999714526630196332e+01,4.999807970819341918e+00,4.999807970819379221e+00,-5.709467396081330248e-02,-3.840583613225770354e-03,-3.840583612483912390e-03
1.900000000000000022e-01,1.999698666998540375e+01,4.999797302531527876e+00,4.999797302531566068e+00,-6.026660029196603124e-02,-4.053949369517027487e-03,-4.053949368733955096e-03
2.000000000000000111e-01,1.999682807366884774e+01,4.999786634243712946e+00,4.999786634243753802e+00,-6.343852662311876001e-02,-4.267315125808283753e-03,-4.267315124983997801e-03
2.099999999999999922e-01,1.999666947735228817e+01,4.999775965955898904e+00,4.999775965955941537e+00,-6.661045295427148183e-02,-4.480680882099540019e-03,-4.480680881234039639e-03
2.200000000000000011e-01,1.999651088103573215e+01,4.999765297668083974e+00,4.999765297668129271e+00,-6.978237928542420365e-02,-4.694046638390797152e-03,-4.694046637484082345e-03
2.300000000000000100e-01,1.999635228471917259e+01,4.999754629380269932e+00,4.999754629380317006e+00,-7.295430561657693935e-02,-4.907412394682054285e-03,-4.907412393734124183e-03
2.399999999999999911e-01,1.999619368840261657e+01,4.999743961092455002e+00,4.999743961092503852e+00,-7.612623194772966118e-02,-5.120778150973309684e-03,-5.120778149984166021e-03
2.500000000000000000e-01,1.999603509208605701e+01,4.999733292804640961e+00,4.999733292804691587e+00,-7.929815827888238300e-02,-5.334143907264566817e-03,-5.334143906234208726e-03
2.600000000000000089e-01,1.999587649576950099e+01,4.999722624516826031e+00,4.999722624516879321e+00,-8.247008461003510482e-02,-5.547509663555823950e-03,-5.547509662484251432e-03
2.700000000000000178e-01,1.999571789945294142e+01,4.999711956229011989e+00,4.999711956229067056e+00,-8.564201094118784052e-02,-5.760875419847080216e-03,-5.760875418734293270e-03
2.800000000000000266e-01,1.999555930313638541e+01,4.999701287941197059e+00,4.999701287941254790e+00,-8.881393727234056235e-02,-5.974241176138337349e-03,-5.974241174984335975e-03
2.899999999999999800e-01,1.999540070681982584e+01,4.999690619653383017e+00,4.999690619653442525e+00,-9.198586360349327029e-02,-6.187606932429592747e-03,-6.187606931234376946e-03
2.999999999999999889e-01,1.999524211050326983e+01,4.999679951365568087e+00,4.999679951365629371e+00,-9.515778993464600599e-02,-6.400972688720849881e-03,-6.400972687484419651e-03
3.099999999999999978e-01,1.999508351418671026e+01,4.999669283077754045e+00,4.999669283077817106e+00,-9.832971626579872781e-02,-6.614338445012106146e-03,-6.614338443734462357e-03
3.200000000000000067e-01,1.999492491787015425e+01,4.999658614789939115e+00,4.999658614790004840e+00,-1.015016425969514635e-01,-6.827704201303363279e-03,-6.827704199984505062e-03
3.300000000000000155e-01,1.999476632155359468e+01,4.999647946502125073e+00,4.999647946502192575e+00,-1.046735689281041853e-01,-7.041069957594619545e-03,-7.041069956234546900e-03
3.400000000000000244e-01,1.999460772523703866e+01,4.999637278214310143e+00,4.999637278214380309e+00,-1.078454952592569072e-01,-7.254435713885876678e-03,-7.254435712484589606e-03
3.500000000000000333e-01,1.999444912892047910e+01,4.999626609926496101e+00,4.999626609926567156e+00,-1.110174215904096429e-01,-7.467801470177132944e-03,-7.467801468734632311e-03
3.599999999999999867e-01,1.999429053260392308e+01,4.999615941638681171e+00,4.999615941638754890e+00,-1.141893479215623508e-01,-7.681167226468389210e-03,-7.681167224984673282e-03
3.699999999999999956e-01,1.999413193628736352e+01,4.999605273350867130e+00,4.999605273350942625e+00,-1.173612742527150726e-01,-7.894532982759645476e-03,-7.894532981234715988e-03
3.800000000000000044e-01,1.999397333997080395e+01,4.999594605063052200e+00,4.999594605063130359e+00,-1.205332005838678083e-01,-8.107898739050902609e-03,-8.107898737484757826e-03
3.900000000000000133e-01,1.999381474365424793e+01,4.999583936775238158e+00,4.999583936775318094e+00,-1.237051269150205302e-01,-8.321264495342159742e-03,-8.321264493734801398e-03
4.000000000000000222e-01,1.999365614733768837e+01,4.999573268487423228e+00,4.999573268487504940e+00,-1.268770532461732381e-01,-8.534630251633415141e-03,-8.534630249984843237e-03
4.100000000000000311e-01,1.999349755102113235e+01,4.999562600199609186e+00,4.999562600199692675e+00,-1.300489795773259738e-01,-8.747996007924672274e-03,-8.747996006234885075e-03
4.199999999999999845e-01,1.999333895470457279e+01,4.999551931911794256e+00,4.999551931911880409e+00,-1.332209059084786817e-01,-8.961361764215927672e-03,-8.961361762484926913e-03
4.299999999999999933e-01,1.999318035838801677e+01,4.999541263623980214e+00,4.999541263624068144e+00,-1.363928322396314174e-01,-9.174727520507184805e-03,-9.174727518734968751e-03
4.400000000000000022e-01,1.999302176207145720e+01,4.999530595336165284e+00,4.999530595336255878e+00,-1.395647585707841254e-01,-9.388093276798441938e-03,-9.388093274985012324e-03
4.500000000000000111e-01,1.999286316575490119e+01,4.999519927048351242e+00,4.999519927048442725e+00,-1.427366849019368611e-01,-9.601459033089699072e-03,-9.601459031235054162e-03
4.600000000000000200e-01,1.999270456943834162e+01,4.999509258760536312e+00,4.999509258760630459e+00,-1.459086112330895968e-01,-9.814824789380956205e-03,-9.814824787485096000e-03
4.700000000000000289e-01,1.999254597312178561e+01,4.999498590472722270e+00,4.999498590472818194e+00,-1.490805375642423325e-01,-1.002819054567221160e-02,-1.002819054373513957e-02
4.799999999999999822e-01,1.999238737680522604e+01,4.999487922184907340e+00,4.999487922185005928e+00,-1.522524638953950404e-01,-1.024155630196346700e-02,-1.024155629998517968e-02
4.899999999999999911e-01,1.999222878048867003e+01,4.999477253897093298e+00,4.999477253897193663e+00,-1.554243902265477484e-01,-1.045492205825472413e-02,-1.045492205623522325e-02
5.000000000000000000e-01,1.999207018417211046e+01,4.999466585609278368e+00,4.999466585609381397e+00,-1.585963165577004841e-01,-1.066828781454598127e-02,-1.066828781248526509e-02
5.100000000000000089e-01,1.999180550603435691e+01,4.999437565227808911e+00,4.999437565227915492e+00,-1.602115109623970524e-01,-1.100126288623396419e-02,-1.100126288413395478e-02
5.200000000000000178e-01,1.999146395701167478e+01,4.999395246227747336e+00,4.999395246227860135e+00,-1.606986387537195915e-01,-1.142091137487609605e-02,-1.142091137273818467e-02
5.300000000000000266e-01,1.999112240798899265e+01,4.999352927227686649e+00,4.999352927227804777e+00,-1.611857665450421584e-01,-1.184055986351822791e-02,-1.184055986134241456e-02
5.400000000000000355e-01,1.999078085896631052e+01,4.999310608227625075e+00,4.999310608227749420e+00,-1.616728943363646975e-01,-1.226020835216035977e-02,-1.226020834994664618e-02
5.500000000000000444e-01,1.999043930994363194e+01,4.999268289227564388e+00,4.999268289227694950e+00,-1.621600221276872367e-01,-1.267985684080249337e-02,-1.267985683855087607e-02
5.600000000000000533e-01,1.999009776092094981e+01,4.999225970227502813e+00,4.999225970227639593e+00,-1.626471499190097758e-01,-1.309950532944462523e-02,-1.309950532715510596e-02
5.700000000000000622e-01,1.998975621189826768e+01,4.999183651227442127e+00,4.999183651227584235e+00,-1.631342777103323149e-01,-1.351915381808675709e-02,-1.351915381575933585e-02
5.799999999999999600e-01,1.998941466287558555e+01,4.999141332227380552e+00,4.999141332227528878e+00,-1.636214055016548541e-01,-1.393880230672888375e-02,-1.393880230436356053e-02
5.899999999999999689e-01,1.998907311385290342e+01,4.999099013227319865e+00,4.999099013227474408e+00,-1.641085332929773932e-01,-1.435845079537101734e-02,-1.435845079296779042e-02
5.999999999999999778e-01,1.998873156483022484e+01,4.999056694227258291e+00,4.999056694227419051e+00,-1.645956610842999324e-01,-1.477809928401314921e-02,-1.477809928157202204e-02
6.099999999999999867e-01,1.998839001580754271e+01,4.999014375227197604e+00,4.999014375227363693e+00,-1.650827888756224993e-01,-1.519774777265528107e-02,-1.519774777017625020e-02
6.199999999999999956e-01,1.998804846678486058e+01,4.998972056227136029e+00,4.998972056227308336e+00,-1.655699166669450384e-01,-1.561739626129741293e-02,-1.561739625878048182e-02
6.300000000000000044e-01,1.998770691776217845e+01,4.998929737227075343e+00,4.998929737227253867e+00,-1.660570444582675775e-01,-1.603704474993954479e-02,-1.603704474738470998e-02
6.400000000000000133e-01,1.998736536873949632e+01,4.998887418227013768e+00,4.998887418227198509e+00,-1.665441722495901167e-01,-1.645669323858167665e-02,-1.645669323598894160e-02
6.500000000000000222e-01,1.998702381971681419e+01,4.998845099226953081e+00,4.998845099227143152e+00,-1.670313000409126558e-01,-1.687634172722380851e-02,-1.687634172459317322e-02
6.600000000000000311e-01,1.998668227069413561e+01,4.998802780226891507e+00,4.998802780227087794e+00,-1.675184278322351950e-01,-1.729599021586594038e-02,-1.729599021319740138e-02
6.700000000000000400e-01,1.998634072167145348e+01,4.998760461226830820e+00,4.998760461227033325e+00,-1.680055556235577341e-01,-1.771563870450807571e-02,-1.771563870180163300e-02
6.800000000000000488e-01,1.998599917264877135e+01,4.998718142226769245e+00,4.998718142226977967e+00,-1.684926834148803010e-01,-1.813528719315020410e-02,-1.813528719040586115e-02
6.900000000000000577e-01,1.998565762362608922e+01,4.998675823226707671e+00,4.998675823226922610e+00,-1.689798112062028401e-01,-1.855493568179233943e-02,-1.855493567901009277e-02
