time,pos_x_altitude,pos_y_crossrange,pos_z_downrange,vel_x_altitude,vel_y_crossrange,vel_z_downrange,control_x,control_y,control_z,log_mass,mass_kg,thrust_slack,thrust_magnitude,velocity_magnitude,position_magnitude,fuel_consumed_kg,throttle_percentage,accel_thrust_x,accel_thrust_y,accel_thrust_z,accel_thrust_magnitude,accel_total_x,accel_total_y,accel_total_z,accel_total_magnitude,accel_gravity_x,accel_gravity_y,accel_gravity_z,accel_gravity_magnitude,accel_thrust_gforce,accel_total_gforce
0.0,20.000000000000004,5.000000000000003,5.000000000000003,-6.426139076813022e-14,1.684804960098002e-14,1.6848049616551595e-14,0.73491201738,8.358404751232561e-16,8.358404758819389e-16,5.298317366416077,199.99999997360806,0.7349120173811945,0.73491201738,6.853641291089868e-14,21.21320343559643,2.6391944629722275e-08,0.036745600869,0.73491201738,8.358404751232561e-16,8.358404758819389e-16,0.73491201738,-2.97508798262,8.358404751232561e-16,8.358404758819389e-16,2.97508798262,-3.71,0.0,0.0,3.71,0.19808949255525607,0.8019105074447439
0.01,19.999841403683444,4.999989331712189,4.99998933171219,-0.0031719263312169864,-0.00021336575627440855,-0.00021336575623319423,0.7894853140675643,-0.004267315125830959,-0.004267315125006674,5.298315266688707,199.99958005036285,0.7897481620857507,0.7897481583780401,0.0031862464660778775,21.213048882251226,0.00041994963713871416,0.039487407918902005,0.7894853140675643,-0.004267315125830959,-0.004267315125006674,0.7897481583780401,-2.9205146859324356,-0.004267315125830959,-0.004267315125006674,2.9235699299518525,-3.71,0.0,0.0,3.71,0.2128701235520324,0.7880242398792056
0.02,19.999682807366888,4.999978663424374,4.999978663424378,-0.006343852662369711,-0.0004267315125656651,-0.0004267315124832365,0.8440586107551287,-0.008534630251662755,-0.008534630250014184,5.2983131669613375,199.99916012711768,0.8445843067903068,0.8445842993760801,0.006372492932087219,21.212894328906017,0.0008398728823327986,0.04222921496880401,0.8440586107551287,-0.008534630251662755,-0.008534630250014184,0.8445842993760801,-2.8659413892448713,-0.008534630251662755,-0.008534630250014184,2.8720518772837056,-3.71,0.0,0.0,3.71,0.22765075454880868,0.7741379723136672
0.03,19.99952421105033,4.99996799513656,4.999967995136565,-0.009515778993522435,-0.0006400972688569216,-0.0006400972687332786,0.898631907442693,-0.012801945377494548,-0.012801945375021695,5.298311067233967,199.99874020387247,0.899420451494863,0.8994204403741203,0.00955873939809656,21.212739775560813,0.001259796127526883,0.04497102201870601,0.898631907442693,-0.012801945377494548,-0.012801945375021695,0.8994204403741203,-2.811368092557307,-0.012801945377494548,-0.012801945375021695,2.8205338246155582,-3.71,0.0,0.0,3.71,0.24243138554558497,0.760251704748129
0.04,19.999365614733772,4.999957326848745,4.999957326848753,-0.01268770532467516,-0.0008534630251481783,-0.000853463024983321,0.9532052041302572,-0.017069260503326345,-0.017069260500029205,5.298308967506597,199.99832028062727,0.9542565961994192,0.9542565813721603,0.012744985864105902,21.21258522221561,0.0016797193727209675,0.04771282906860801,0.9532052041302572,-0.017069260503326345,-0.017069260500029205,0.9542565813721603,-2.7567947958697427,-0.017069260503326345,-0.017069260500029205,2.7690157719474113,-3.71,0.0,0.0,3.71,0.25721201654236125,0.7463654371825906
0.05,19.999207018417213,4.999946658560931,4.9999466585609404,-0.015859631655827884,-0.0010668287814394348,-0.0010668287812333633,1.0077785008178215,-0.02133657562915814,-0.021336575625036717,5.298306867779227,199.9979003573821,1.0090927409039754,1.0090927223702004,0.01593123233011524,21.212430668870404,0.002099642617915052,0.05045463611851002,1.0077785008178215,-0.02133657562915814,-0.021336575625036717,1.0090927223702004,-2.7022214991821785,-0.02133657562915814,-0.021336575625036717,2.717497719279264,-3.71,0.0,0.0,3.71,0.2719926475391376,0.7324791696170523
0.06,19.999048422100657,4.999935990273116,4.999935990273128,-0.01903155798698061,-0.0012801945377306913,-0.0012801945374834053,1.0623517975053858,-0.025603890754989932,-0.025603890750044225,5.298304768051858,199.9974804341369,1.0639288856085316,1.0639288633682404,0.01911747879612458,21.212276115525196,0.0025195658631091363,0.053196443168412016,1.0623517975053858,-0.025603890754989932,-0.025603890750044225,1.0639288633682404,-2.647648202494614,-0.025603890754989932,-0.025603890750044225,2.6659796666111166,-3.71,0.0,0.0,3.71,0.2867732785359139,0.7185929020515139
0.07,19.998889825784097,4.999925321985302,4.999925321985316,-0.022203484318133335,-0.0014935602940219482,-0.0014935602937334478,1.11692509419295,-0.02987120588082173,-0.029871205875051737,5.298302668324488,199.99706051089169,1.1187650303130878,1.1187650043662805,0.022303725262133926,21.21212156217999,0.002939489108303221,0.05593825021831403,1.11692509419295,-0.02987120588082173,-0.029871205875051737,1.1187650043662805,-2.5930749058070495,-0.02987120588082173,-0.029871205875051737,2.6144616139429697,-3.71,0.0,0.0,3.71,0.3015539095326902,0.7047066344859756
0.08,19.99873122946754,4.999914653697487,4.999914653697503,-0.02537541064928606,-0.0017069260503132047,-0.00170692604998349,1.1714983908805143,-0.03413852100665353,-0.03413852100005925,5.298300568597117,199.9966405876465,1.173601175017644,1.1736011453643207,0.025489971728143265,21.211967008834787,0.003359412353497305,0.058680057268216027,1.1714983908805143,-0.03413852100665353,-0.03413852100005925,1.1736011453643207,-2.5385016091194856,-0.03413852100665353,-0.03413852100005925,2.5629435612748224,-3.71,0.0,0.0,3.71,0.3163345405294665,0.6908203669204374
0.09,19.99857263315098,4.999903985409673,4.9999039854096905,-0.028547336980438782,-0.0019202918066044611,-0.0019202918062335322,1.2260716875680786,-0.03840583613248532,-0.03840583612506676,5.298298468869747,199.9962206644013,1.2284373197222,1.2284372863623607,0.028676218194152604,21.21181245548958,0.0037793355986913894,0.06142186431811803,1.2260716875680786,-0.03840583613248532,-0.03840583612506676,1.2284372863623607,-2.483928312431921,-0.03840583613248532,-0.03840583612506676,2.5114255086066755,-3.71,0.0,0.0,3.71,0.3311151715262428,0.676934099354899
