time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.14,19.997779651568194,4.9998506439706,4.999850643970628,-0.04440696863620241,-0.0029871205880607444,-0.0029871205874837437,-2.2110618289940995,-0.0597424117616443,-0.059742411750104314
0.15,19.997621055251635,4.999839975682786,4.999839975682816,-0.04757889496735513,-0.0032004863443520007,-0.0032004863437337856,-2.1564885323065353,-0.06400972688747608,-0.06400972687511182
0.16,19.99746245893508,4.999829307394971,4.999829307395004,-0.05075082129850786,-0.0034138521006432574,-0.0034138520999838283,-2.101915235618971,-0.06827704201330789,-0.06827704200011933
0.17,19.99730386261852,4.999818639107157,4.9998186391071915,-0.05392274762966058,-0.003627217856934514,-0.0036272178562338706,-2.0473419389314067,-0.07254435713913969,-0.07254435712512684
0.18,19.997145266301963,4.999807970819342,4.999807970819379,-0.0570946739608133,-0.0038405836132257704,-0.0038405836124839124,-1.9927686422438424,-0.07681167226497147,-0.07681167225013436
0.19,19.996986669985404,4.999797302531528,4.999797302531566,-0.06026660029196603,-0.0040539493695170275,-0.004053949368733955,-1.9381953455562781,-0.08107898739080327,-0.08107898737514187
0.2,19.996828073668848,4.999786634243713,4.999786634243754,-0.06343852662311876,-0.004267315125808284,-0.004267315124983998,-1.8836220488687136,-0.08534630251663507,-0.08534630250014938
0.21,19.996669477352288,4.999775965955899,4.9997759659559415,-0.06661045295427148,-0.00448068088209954,-0.00448068088123404,-1.8290487521811496,-0.08961361764246685,-0.08961361762515688
0.22,19.996510881035732,4.999765297668084,4.999765297668129,-0.0697823792854242,-0.004694046638390797,-0.004694046637484082,-1.774475455493585,-0.09388093276829866,-0.09388093275016439
0.23,19.996352284719173,4.99975462938027,4.999754629380317,-0.07295430561657694,-0.004907412394682054,-0.004907412393734124,-1.7199021588060208,-0.09814824789413046,-0.09814824787517192
0.24,19.996193688402617,4.999743961092455,4.999743961092504,-0.07612623194772966,-0.00512077815097331,-0.005120778149984166,-1.6653288621184565,-0.10241556301996224,-0.10241556300017941
0.25,19.996035092086057,4.999733292804641,4.999733292804692,-0.07929815827888238,-0.005334143907264567,-0.005334143906234209,-1.6107555654308923,-0.10668287814579404,-0.10668287812518693
0.26,19.9958764957695,4.999722624516826,4.999722624516879,-0.0824700846100351,-0.005547509663555824,-0.005547509662484251,-1.556182268743328,-0.11095019327162584,-0.11095019325019444
