time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust_x,thrust_y,thrust_z,position_magnitude,velocity_magnitude,thrust_magnitude,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude,log_mass,mass,thrust_to_weight
0.0,0.0,0.0,0.09999999999815241,0.0,0.0,-2.4892558586979417e-12,0.0,0.0,9.87467279578693,0.09999999999815241,2.4892558586979417e-12,9.87467279578693,0.0,0.0,0.0680227957869306,0.0680227957869306,5.298317366318671,199.99999995412693,0.005034681975012791
0.5,0.0,0.0,0.11424045686357914,0.0,0.0,0.05696182746949206,0.0,0.0,9.96647451410963,0.11424045686357914,0.05696182746949206,9.96647451410963,0.0,0.0,0.15982451410962994,0.15982451410962994,5.295837155473146,199.50457242147175,0.005094106628693546
1.0,0.0,0.0,0.16214007742634903,0.0,0.0,0.13463665478495873,0.0,0.0,9.957524795158704,0.16214007742634903,0.13463665478495873,9.957524795158704,0.0,0.0,0.15087479515870506,0.15087479515870506,5.2933465642997755,199.00830634883187,0.005102223952881078
1.5,0.0,0.0,0.249908983169028,0.0,0.0,0.21643896818784789,0.0,0.0,9.982984458457953,0.249908983169028,0.21643896818784789,9.982984458457953,0.0,0.0,0.17633445845795315,0.17633445845795315,5.290853916514288,198.51286646980253,0.005128035923930802
2.0,0.0,0.0,0.37783690012529636,0.0,0.0,0.2952726996386024,0.0,0.0,9.945650467349303,0.37783690012529636,0.2952726996386024,9.945650467349303,0.0,0.0,0.1390004673493035,0.1390004673493035,5.28836275865308,198.01895504304122,0.005121601125489828
2.5,0.0,0.0,0.5413200410358294,0.0,0.0,0.358659864004499,0.0,0.0,9.921198190117932,0.5413200410358294,0.358659864004499,9.921198190117932,0.0,0.0,0.11454819011793305,0.11454819011793305,5.285879329097757,197.5277990456636,0.005121712840171815
3.0,0.0,0.0,0.7294558422556474,0.0,0.0,0.3938833408754948,0.0,0.0,9.832995717369274,0.7294558422556474,0.3938833408754948,9.832995717369274,0.0,0.0,0.02634571736927427,0.02634571736927427,5.2834099862058075,197.04063691184953,0.005088729569844885
3.5,0.0,0.0,0.9246746820735844,0.0,0.0,0.38699201839681296,0.0,0.0,9.752738992718903,0.9246746820735844,0.38699201839681296,9.752738992718903,0.0,0.0,-0.05391100728109599,0.05391100728109599,5.280961704769016,196.5588160354313,0.00505956754950377
4.0,0.0,0.0,1.1088083642140532,0.0,0.0,0.34954271016551225,0.0,0.0,9.710763774358547,1.1088083642140532,0.34954271016551225,9.710763774358547,0.0,0.0,-0.09588622564145233,0.09588622564145233,5.278528705303164,196.08116983310447,0.00505006333323107
4.5,0.0,0.0,1.2709163340369065,0.0,0.0,0.2988891691262739,0.0,0.0,9.699922061486948,1.2709163340369065,0.2988891691262739,9.699922061486948,0.0,0.0,-0.10672793851305151,0.10672793851305151,5.276102309991645,195.60597613895766,0.005056679752817923
5.0,0.0,0.0,1.4074117271285769,0.0,0.0,0.2470924032407233,0.0,0.0,9.706190874973128,1.4074117271285769,0.2470924032407233,9.706190874973128,0.0,0.0,-0.10045912502687138,0.10045912502687138,5.273676487655554,195.13204586070242,0.00507223719087844
5.5,0.0,0.0,1.5191888245957352,0.0,0.0,0.20001598662818493,0.0,0.0,9.71880345857885,1.5191888245957352,0.20001598662818493,9.71880345857885,0.0,0.0,-0.08784654142114867,0.08784654142114867,5.27124830606039,194.65880460868766,0.005091175545530148
6.0,0.0,0.0,1.6090220690736512,0.0,0.0,0.15931699128372093,0.0,0.0,9.731700560045297,1.6090220690736512,0.15931699128372093,9.731700560045297,0.0,0.0,-0.07494943995470216,0.07494943995470216,5.268816936380773,194.18609199572106,0.00511034170312426
6.5,0.0,0.0,1.6800012523938133,0.0,0.0,0.12459974199714285,0.0,0.0,9.74273044281028,1.6800012523938133,0.12459974199714285,9.74273044281028,0.0,0.0,-0.06391955718971865,0.06391955718971865,5.266382576265213,193.7139480357473,0.005128603434056249
