time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.0,0.0,0.0,0.09999999999815241,0.0,0.0,-2.4892558586979417e-12,0.0,0.0,0.0680227957869306
0.5,0.0,0.0,0.11424045686357914,0.0,0.0,0.05696182746949206,0.0,0.0,0.15982451410962994
1.0,0.0,0.0,0.16214007742634903,0.0,0.0,0.13463665478495873,0.0,0.0,0.15087479515870506
1.5,0.0,0.0,0.249908983169028,0.0,0.0,0.21643896818784789,0.0,0.0,0.17633445845795315
2.0,0.0,0.0,0.37783690012529636,0.0,0.0,0.2952726996386024,0.0,0.0,0.1390004673493035
2.5,0.0,0.0,0.5413200410358294,0.0,0.0,0.358659864004499,0.0,0.0,0.11454819011793305
3.0,0.0,0.0,0.7294558422556474,0.0,0.0,0.3938833408754948,0.0,0.0,0.02634571736927427
3.5,0.0,0.0,0.9246746820735844,0.0,0.0,0.38699201839681296,0.0,0.0,-0.05391100728109599
4.0,0.0,0.0,1.1088083642140532,0.0,0.0,0.34954271016551225,0.0,0.0,-0.09588622564145233
4.5,0.0,0.0,1.2709163340369065,0.0,0.0,0.2988891691262739,0.0,0.0,-0.10672793851305151
5.0,0.0,0.0,1.4074117271285769,0.0,0.0,0.2470924032407233,0.0,0.0,-0.10045912502687138
5.5,0.0,0.0,1.5191888245957352,0.0,0.0,0.20001598662818493,0.0,0.0,-0.08784654142114867
6.0,0.0,0.0,1.6090220690736512,0.0,0.0,0.15931699128372093,0.0,0.0,-0.07494943995470216
6.5,0.0,0.0,1.6800012523938133,0.0,0.0,0.12459974199714285,0.0,0.0,-0.06391955718971865
7.0,0.0,0.0,1.7348919327435384,0.0,0.0,0.09496297940194869,0.0,0.0,-0.05462749318926541
7.5,0.0,0.0,1.7760699797984278,0.0,0.0,0.06974920881778247,0.0,0.0,-0.0462275891456958
8.0,0.0,0.0,1.8056755207301607,0.0,0.0,0.04867295490930715,0.0,0.0,-0.038077426486585964
8.5,0.0,0.0,1.8257566749463947,0.0,0.0,0.03165166195577688,0.0,0.0,-0.030007745325990598
9.0,0.0,0.0,1.8383176600404971,0.0,0.0,0.018592278420772882,0.0,0.0,-0.02222978881255422
9.5,0.0,0.0,1.845278717379827,0.0,0.0,0.009251950936681201,0.0,0.0,-0.015131521122407676
10.0,0.0,0.0,1.848390605253358,0.0,0.0,0.0031956005575739634,0.0,0.0,-0.009093880392683218
10.5,0.0,0.0,1.8491466974827464,0.0,0.0,-0.00017123163989194695,0.0,0.0,-0.004373448395908142
11.0,0.0,0.0,1.848721858701573,0.0,0.0,-0.0015281234846748189,0.0,0.0,-0.0010541189820152397
11.5,0.0,0.0,1.8479511542838705,0.0,0.0,-0.0015546941860121208,0.0,0.0,0.0009478361778114675
12.0,0.0,0.0,1.8473483582872292,0.0,0.0,-0.0008564898004331968,0.0,0.0,0.0018449813655880831
12.5,0.0,0.0,1.8471556746621565,0.0,0.0,8.575530025901872e-05,0.0,0.0,0.0019239990382029504
13.0,0.0,0.0,1.8474118919818292,0.0,0.0,0.0009391139785444453,0.0,0.0,0.0014894356759072025
13.5,0.0,0.0,1.8480255789067734,0.0,0.0,0.0015156337213399565,0.0,0.0,0.00081664329618647
14.0,0.0,0.0,1.8488419714289024,0.0,0.0,0.0017499363672778517,0.0,0.0,0.0001205672884232456
14.5,0.0,0.0,1.84969588401647,0.0,0.0,0.0016657139830889632,0.0,0.0,-0.00045745682437114965
15.0,0.0,0.0,1.8504472153714644,0.0,0.0,0.0013396114369809726,0.0,0.0,-0.000846953359298297
15.5,0.0,0.0,1.8509994234549014,0.0,0.0,0.000869220896852676,0.0,0.0,-0.0010346088004986598
16.0,0.0,0.0,1.8513040177430105,0.0,0.0,0.00034915625566540095,0.0,0.0,-0.0010456497635757955
16.5,0.0,0.0,1.8513553991067635,0.0,0.0,-0.00014363080057884002,0.0,0.0,-0.0009254984607665051
17.0,0.0,0.0,1.8511804272588142,0.0,0.0,-0.0005562565911461713,0.0,0.0,-0.000725004700903753
17.5,0.0,0.0,1.850826328921029,0.0,0.0,-0.0008601367599272769,0.0,0.0,-0.0004905159736576792
18.0,0.0,0.0,1.850349444627859,0.0,0.0,-0.0010474004126908847,0.0,0.0,-0.00025853863686364775
18.5,0.0,0.0,1.8498062127557062,0.0,0.0,-0.0011255270758612648,0.0,0.0,-5.396801531531992e-05
19.0,0.0,0.0,1.8492469084761731,0.0,0.0,-0.0011116900422144876,0.0,0.0,0.00010931615037712561
19.5,0.0,0.0,1.848712054489453,0.0,0.0,-0.0010277259046149018,0.0,0.0,0.00022654040046710122
20.0,0.0,0.0,1.8482310752616238,0.0,0.0,-0.0008961910066515531,0.0,0.0,0.0002995991918091079
20.5,0.0,0.0,1.8478226180008954,0.0,0.0,-0.0007376380362143285,0.0,0.0,0.00033461269033630003
21.0,0.0,0.0,1.8474959495748662,0.0,0.0,-0.0005690356678572439,0.0,0.0,0.00033979678346618414
21.5,0.0,0.0,1.8472529068203412,0.0,0.0,-0.0004031353502007606,0.0,0.0,0.00032380448751112567
22.0,0.0,0.0,1.8470899884216359,0.0,0.0,-0.00024853824458073595,0.0,0.0,0.00029458393530212845
22.5,0.0,0.0,1.8470003007131686,0.0,0.0,-0.00011021258924944363,0.0,0.0,0.00025871868633586814
23.0,0.0,0.0,1.8469751872413804,0.0,0.0,9.75870213305405e-06,0.0,0.0,0.00022116647948955404
23.5,0.0,0.0,1.8470054700823968,0.0,0.0,0.00011137266196815891,0.0,0.0,0.00018528936012529584
24.0,0.0,0.0,1.847082303648927,0.0,0.0,0.00019596160418573915,0.0,0.0,0.00015306640900369928
24.5,0.0,0.0,1.8471976882576766,0.0,0.0,0.00026557683084417304,0.0,0.0,0.00012539449787318802
25.0,0.0,0.0,1.8473447141472878,0.0,0.0,0.0003225267276319344,0.0,0.0,0.00010240508950509764
25.5,0.0,0.0,1.8475176122052541,0.0,0.0,0.00036906550426176295,0.0,0.0,8.375001722527031e-05
26.0,0.0,0.0,1.8477116813201975,0.0,0.0,0.0004072109555395901,0.0,0.0,6.88317880825906e-05
26.5,0.0,0.0,1.847923149481647,0.0,0.0,0.0004386616902851375,0.0,0.0,5.6971151083828886e-05
27.0,0.0,0.0,1.848149010796216,0.0,0.0,0.00046478356801524635,0.0,0.0,4.751636000577264e-05
27.5,0.0,0.0,1.8483868663967469,0.0,0.0,0.00048663883413230735,0.0,0.0,3.9904704621562814e-05
28.0,0.0,0.0,1.8486347854165202,0.0,0.0,0.0005050372449862912,0.0,0.0,3.368893894162284e-05
28.5,0.0,0.0,1.848891193394409,0.0,0.0,0.0005205946665909973,0.0,0.0,2.8540747612382233e-05
