time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust_x,thrust_y,thrust_z,log_mass,mass,thrust_magnitude
0.0,0.0,0.0,0.09999999999815241,0.0,0.0,-2.4892558586979417e-12,0.0,0.0,9.87467279578693,5.298317366318671,199.99999995412693,9.874672795798322
0.5,0.0,0.0,0.11424045686357914,0.0,0.0,0.05696182746949206,0.0,0.0,9.96647451410963,5.295837155473146,199.50457242147175,9.966695970022839
1.0,0.0,0.0,0.16214007742634903,0.0,0.0,0.13463665478495873,0.0,0.0,9.957524795158704,5.2933465642997755,199.00830634883187,9.957714530780775
1.5,0.0,0.0,0.249908983169028,0.0,0.0,0.21643896818784789,0.0,0.0,9.982984458457953,5.290853916514288,198.51286646980253,9.983148821173929
2.0,0.0,0.0,0.37783690012529636,0.0,0.0,0.2952726996386024,0.0,0.0,9.945650467349303,5.28836275865308,198.01895504304122,9.945795507966853
2.5,0.0,0.0,0.5413200410358294,0.0,0.0,0.358659864004499,0.0,0.0,9.921198190117932,5.285879329097757,197.5277990456636,9.921323515926547
3.0,0.0,0.0,0.7294558422556474,0.0,0.0,0.3938833408754948,0.0,0.0,9.832995717369274,5.2834099862058075,197.04063691184953,9.833104117860698
3.5,0.0,0.0,0.9246746820735844,0.0,0.0,0.38699201839681296,0.0,0.0,9.752738992718903,5.280961704769016,196.5588160354313,9.752834656665915
4.0,0.0,0.0,1.1088083642140532,0.0,0.0,0.34954271016551225,0.0,0.0,9.710763774358547,5.278528705303164,196.08116983310447,9.710850380902693
4.5,0.0,0.0,1.2709163340369065,0.0,0.0,0.2988891691262739,0.0,0.0,9.699922061486948,5.276102309991645,195.60597613895766,9.700002336732034
5.0,0.0,0.0,1.4074117271285769,0.0,0.0,0.2470924032407233,0.0,0.0,9.706190874973128,5.273676487655554,195.13204586070242,9.706266717246276
5.5,0.0,0.0,1.5191888245957352,0.0,0.0,0.20001598662818493,0.0,0.0,9.71880345857885,5.27124830606039,194.65880460868766,9.718876170969246
6.0,0.0,0.0,1.6090220690736512,0.0,0.0,0.15931699128372093,0.0,0.0,9.731700560045297,5.268816936380773,194.18609199572106,9.731771045350198
6.5,0.0,0.0,1.6800012523938133,0.0,0.0,0.12459974199714285,0.0,0.0,9.74273044281028,5.266382576265213,193.7139480357473,9.742799332995215
7.0,0.0,0.0,1.7348919327435384,0.0,0.0,0.09496297940194869,0.0,0.0,9.752022506810734,5.263945676216338,193.24246122275636,9.752090240678756
7.5,0.0,0.0,1.7760699797984278,0.0,0.0,0.06974920881778247,0.0,0.0,9.760422410854304,5.261506564894842,192.77169570593745,9.760489281780115
8.0,0.0,0.0,1.8056755207301607,0.0,0.0,0.04867295490930715,0.0,0.0,9.768572573513413,5.259065384980922,192.3016792451959,9.768638763316684
8.5,0.0,0.0,1.8257566749463947,0.0,0.0,0.03165166195577688,0.0,0.0,9.776642254674009,5.2566221777177216,191.83241986812519,9.776707861868799
9.0,0.0,0.0,1.8383176600404971,0.0,0.0,0.018592278420772882,0.0,0.0,9.784420211187445,5.254176989614049,191.36392652776073,9.784485276326988
9.5,0.0,0.0,1.845278717379827,0.0,0.0,0.009251950936681201,0.0,0.0,9.791518478877592,5.251729942092545,190.89622238616207,9.791583006793628
10.0,0.0,0.0,1.848390605253358,0.0,0.0,0.0031956005575739634,0.0,0.0,9.797556119607316,5.24928125269685,190.42934867835976,9.797620097518925
10.5,0.0,0.0,1.8491466974827464,0.0,0.0,-0.00017123163989194695,0.0,0.0,9.802276551604091,5.246831218664616,189.96336136884236,9.802339962441458
11.0,0.0,0.0,1.848721858701573,0.0,0.0,-0.0015281234846748189,0.0,0.0,9.805595881017984,5.244380179793629,189.4983239312948,9.80565871205353
11.5,0.0,0.0,1.8479511542838705,0.0,0.0,-0.0015546941860121208,0.0,0.0,9.807597836177811,5.2419284759007185,189.0342992108511,9.807660083649717
12.0,0.0,0.0,1.8473483582872292,0.0,0.0,-0.0008564898004331968,0.0,0.0,9.808494981365588,5.2394764097631255,188.57134243918958,9.808556652059634
12.5,0.0,0.0,1.8471556746621565,0.0,0.0,8.575530025901872e-05,0.0,0.0,9.808573999038202,5.237024221748694,188.1094965513023,9.808635109807662
13.0,0.0,0.0,1.8474118919818292,0.0,0.0,0.0009391139785444453,0.0,0.0,9.808139435675907,5.234572078318177,187.64879017502568,9.808200011737211
13.5,0.0,0.0,1.8480255789067734,0.0,0.0,0.0015156337213399565,0.0,0.0,9.807466643296186,5.23212007344208,187.18923806877368,9.80752671596027
14.0,0.0,0.0,1.8488419714289024,0.0,0.0,0.0017499363672778517,0.0,0.0,9.806770567288423,5.22966823980153,186.7308433811218,9.806830171588695
14.5,0.0,0.0,1.84969588401647,0.0,0.0,0.0016657139830889632,0.0,0.0,9.806192543175628,5.227216565541191,186.27360091261747,9.80625171570278
15.0,0.0,0.0,1.8504472153714644,0.0,0.0,0.0013396114369809726,0.0,0.0,9.805803046640701,5.2247650123287395,185.81750057346557,9.805861823762708
15.5,0.0,0.0,1.8509994234549014,0.0,0.0,0.000869220896852676,0.0,0.0,9.8056153911995,5.222313531358269,185.36253041003332,9.805673807737776
16.0,0.0,0.0,1.8513040177430105,0.0,0.0,0.00034915625566540095,0.0,0.0,9.805604350236424,5.219862075313543,184.9086788402712,9.805662438605879
16.5,0.0,0.0,1.8513553991067635,0.0,0.0,-0.00014363080057884002,0.0,0.0,9.805724501539233,5.217410605710226,184.45593600409276,9.805782291295717
17.0,0.0,0.0,1.8511804272588142,0.0,0.0,-0.0005562565911461713,0.0,0.0,9.805924995299096,5.214959096098916,184.00429433225858,9.805982513012022
17.5,0.0,0.0,1.850826328921029,0.0,0.0,-0.0008601367599272769,0.0,0.0,9.806159484026342,5.212507532180809,183.5537485400553,9.80621675337971
18.0,0.0,0.0,1.850349444627859,0.0,0.0,-0.0010474004126908847,0.0,0.0,9.806391461363136,5.2100559100147,183.10429527137813,9.806448503389129
